iter	Passed	Remaining
403	9346	13788
404	9369	13764
405	9401	13754
406	9425	13732
407	9445	13705
408	9466	13678
409	9486	13651
410	9507	13624
411	9527	13597
412	9551	13576
413	9579	13559
414	9603	13537
415	9623	13510
416	9644	13483
417	9664	13456
418	9684	13428
419	9705	13402
420	9725	13375
421	9747	13350
422	9772	13329
423	9798	13310
424	9819	13284
425	9839	13257
426	9859	13231
427	9880	13204
428	9900	13177
429	9921	13151
430	9949	13135
431	9984	13128
432	10008	13105
433	10028	13078
434	10049	13052
435	10070	13026
436	10091	13001
437	10115	12978
438	10140	12958
439	10171	12945
440	10193	12920
441	10214	12894
442	10235	12868
443	10255	12842
444	10276	12817
445	10305	12800
446	10336	12787
447	10364	12770
448	10389	12749
449	10410	12723
450	10431	12697
451	10452	12672
452	10477	12651
453	10500	12627
454	10531	12614
455	10555	12592
456	10577	12567
457	10598	12542
458	10619	12516
459	10639	12490
460	10660	12464
461	10690	12448
462	10736	12452
463	10757	12426
464	10778	12400
465	10798	12374
466	10818	12347
467	10839	12321
468	10864	12300
469	10890	12281
470	10919	12263
471	10941	12240
472	10962	12214
473	10982	12187
474	11003	12161
475	11023	12135
476	11047	12113
477	11069	12088
478	11098	12071
479	11121	12048
480	11142	12022
481	11162	11995
482	11182	11970
483	11203	11943
484	11227	11922
485	11254	11902
486	11282	11885
487	11305	11861
488	11326	11835
489	11346	11809
490	11367	11783
491	11387	11757
492	11414	11738
493	11436	11714
494	11466	11697
495	11481	11666
496	11501	11640
497	11521	11614
498	11542	11588
499	11562	11562
500	11588	11542
501	11610	11517
502	11640	11501
503	11663	11477
504	11683	11452
505	11703	11426
506	11724	11400
507	11744	11374
508	11767	11350
509	11794	11331
510	11823	11314
511	11845	11290
512	11866	11264
513	11886	11238
514	11906	11213
515	11927	11187
516	11951	11165
517	11974	11142
518	12005	11126
519	12029	11104
520	12049	11078
521	12070	11052
522	12090	11027
523	12111	11001
524	12138	10982
525	12160	10958
526	12191	10942
527	12216	10920
528	12236	10894
529	12260	10872
530	12281	10847
531	12301	10821
532	12326	10799
533	12348	10775
534	12374	10755
