iter	MultiClass
352	0.76233232
353	0.7615324607
354	0.7608456786
355	0.7606071845
356	0.7599313308
357	0.7594760187
358	0.75876939
359	0.7581401746
360	0.7574948795
361	0.7568674942
362	0.7565920684
363	0.7559377287
364	0.7555392669
365	0.7548933363
366	0.7541526035
367	0.7538343082
368	0.7535571042
369	0.7528511827
370	0.7520474856
371	0.7518151708
372	0.7514687415
373	0.7512906862
374	0.750853182
375	0.7501878377
376	0.7495870964
377	0.7492265984
378	0.748471251
379	0.7480739283
380	0.7475172103
381	0.7466615131
382	0.7464239175
383	0.7457094719
384	0.7454530577
385	0.7449297256
386	0.7439851427
387	0.7436874507
388	0.7433839437
389	0.7431158409
390	0.7426508887
391	0.7424655893
392	0.7423476914
393	0.7419607399
394	0.7417183494
395	0.7408872076
396	0.7405119061
397	0.7399075975
398	0.7397350522
399	0.7391881028
400	0.7386949997
401	0.7382815037
402	0.7375860536
403	0.7373539548
404	0.7371431842
405	0.7366954522
406	0.7361319714
407	0.7355843515
408	0.7352453655
409	0.7345251627
410	0.7342339945
411	0.7340254817
412	0.7336689709
413	0.7333861227
414	0.7328923682
415	0.7327360978
416	0.7326078149
417	0.7320507031
418	0.7319198328
419	0.7318028993
420	0.7313531135
421	0.7307623828
422	0.7300187334
423	0.7294243498
424	0.7288353751
425	0.7282555514
426	0.7280758149
427	0.7277246751
428	0.7273592796
429	0.7269339101
430	0.7264908314
431	0.7262727848
432	0.725593194
433	0.7251256811
434	0.7249268306
435	0.7246756071
436	0.7243361857
437	0.7239286949
438	0.7235606875
439	0.7234173071
440	0.723058369
441	0.7228712635
442	0.7223396223
443	0.721880719
444	0.721573991
445	0.7210544716
446	0.7207780024
447	0.7204551522
448	0.7197872892
449	0.7195945487
450	0.7193728125
451	0.7192770518
452	0.7189226426
453	0.7185124917
454	0.7183834676
455	0.7178153909
456	0.7176856513
457	0.7171838677
458	0.7168350092
459	0.716559765
460	0.7163813373
461	0.7157402109
462	0.7152421447
463	0.7151042649
464	0.7146434382
465	0.7142094646
466	0.7138559361
467	0.7136676937
468	0.7133636697
469	0.7132001655
470	0.7128608172
471	0.7123610249
472	0.7119205209
473	0.7114967496
474	0.7111423122
475	0.7109925888
476	0.7108581109
477	0.7107253387
478	0.7101086856
479	0.7096953737
480	0.7095426631
481	0.7092318096
482	0.7086564936
483	0.7081808087
484	0.7080443538
485	0.7076355014
486	0.7070389401
487	0.7067524804
488	0.7064916869
489	0.7059803751
490	0.7056458023
491	0.7054830625
492	0.7051237694
493	0.7047675917
494	0.7044229977
495	0.7043483032
496	0.7039505407
497	0.7037379006
498	0.7035590741
499	0.7034220273
500	0.7030683731
501	0.702704766
502	0.7025782025
503	0.7022116366
504	0.7018061144
505	0.701588574
506	0.7014368828
507	0.7010319819
508	0.7005959387
509	0.7005039441
510	0.7000662103
511	0.6997337155
512	0.6992831953
513	0.6990719396
514	0.6988275583
515	0.6986023614
516	0.6984473604
517	0.6982710386
518	0.6977694747
519	0.6973791424
520	0.6969248197
521	0.6963729856
522	0.6960170362
523	0.6958631734
524	0.6957763753
525	0.6955776687
526	0.6952463638
527	0.6949601565
528	0.6948024456
529	0.694399582
530	0.6940490016
531	0.6935824388
532	0.6934800221
533	0.6932551045
534	0.6927564776
535	0.6926352822
536	0.6925214809
537	0.6922606944
538	0.6920021075
539	0.6917579451
540	0.6913074806
541	0.6910322557
542	0.6905755762
543	0.6904673154
544	0.6902430245
545	0.6900667725
546	0.6897387772
547	0.6895819589
548	0.689188496
549	0.6888370721
550	0.6886601832
551	0.6884546474
552	0.6883562933
553	0.6879844862
554	0.6876993928
555	0.6875039696
556	0.6872921704
557	0.6871713135
558	0.6868699043
559	0.6867775582
560	0.6865313462
561	0.686309714
562	0.6861400486
563	0.6858407242
564	0.6857107655
565	0.6854998607
566	0.6853915021
567	0.6852056788
568	0.685026702
569	0.6846227023
570	0.6843729345
571	0.6842363865
572	0.6838723788
573	0.6836903904
574	0.6833588709
575	0.6831848412
576	0.6829745091
577	0.6826569615
578	0.6824157065
579	0.682318249
580	0.6820180866
581	0.6819104514
582	0.6816942589
583	0.6816083025
584	0.6813991676
585	0.6811518667
586	0.6810454406
587	0.6809604377
588	0.6806377621
589	0.6804126397
590	0.6802603885
591	0.6800299944
592	0.6797955331
593	0.6797101456
594	0.6794441339
595	0.6791414913
596	0.6790226082
597	0.6789648915
598	0.6787231264
599	0.67858744
600	0.6784054736
601	0.6781703216
602	0.678045119
603	0.677962693
604	0.677863768
605	0.6776740779
606	0.6773574851
607	0.6772010676
608	0.6770765979
609	0.6768236945
610	0.6766312546
611	0.6765045633
612	0.6763889691
613	0.6760506977
614	0.6759540869
615	0.6758269195
616	0.6754677035
617	0.6752701594
618	0.6749093474
619	0.6746430067
620	0.6745296656
621	0.6742732392
622	0.6740364157
623	0.6739397068
624	0.6738516166
625	0.673663126
626	0.6733387203
627	0.673095715
628	0.6729349028
629	0.6726234624
630	0.6724436119
631	0.6721238069
632	0.6719602742
633	0.671640531
634	0.6714068175
635	0.6710837747
636	0.6709406731
637	0.6707249328
638	0.670639854
639	0.670387545
640	0.6700017514
641	0.669842396
642	0.6697666918
643	0.6695254418
644	0.6693123987
645	0.6691462965
646	0.6690477621
647	0.6688958981
648	0.668710822
649	0.6686263541
650	0.6683503596
651	0.6683082634
652	0.6682236249
653	0.6681453707
654	0.6680779212
655	0.6679866999
656	0.6677326532
657	0.6674779158
658	0.6674016603
659	0.6672593077
660	0.6671767966
661	0.6670180868
662	0.6668147509
663	0.6665588553
664	0.6664322227
665	0.6663231403
666	0.6661389824
667	0.6660443225
668	0.665978833
669	0.6657231888
670	0.6655287117
671	0.6654456829
672	0.6651870465
673	0.6649464418
674	0.6646243053
675	0.6643622473
676	0.6641785289
677	0.6639768676
678	0.6639189557
679	0.6637849985
680	0.6637425357
681	0.663559105
682	0.6633531509
683	0.6632596129
684	0.6631188662
685	0.6628630304
686	0.6625999232
687	0.6624575148
688	0.6623695284
689	0.6622060103
690	0.6620583023
691	0.661911497
692	0.6618238375
693	0.6616341994
694	0.6614966278
695	0.6612733162
696	0.6610186392
697	0.6609169564
698	0.6608002771
699	0.6606113894
700	0.6604736563
701	0.6602838404
702	0.6601694335
703	0.6601333252
704	0.6599980273
705	0.65976816
706	0.6596863491
707	0.6595032123
708	0.6593142433
709	0.6592201674
710	0.6591145079
711	0.6589624024
712	0.6588606684
713	0.6586277977
714	0.658566339
715	0.6584497621
716	0.6583628584
717	0.658178128
718	0.6580936308
719	0.6578439225
720	0.6577516754
721	0.657598929
722	0.6575418282
723	0.6573924013
724	0.6571421121
725	0.6570712686
726	0.6569167919
727	0.6567821581
728	0.6567103247
729	0.6566453444
730	0.6564284757
731	0.65628157
732	0.6560900514
733	0.6560214152
734	0.6557498358
735	0.6556126146
736	0.6555592392
737	0.6554571719
738	0.6554157872
739	0.655167084
740	0.6550036294
741	0.6548588604
742	0.6546724369
743	0.6545187291
744	0.654396447
745	0.6543107749
746	0.6540565864
747	0.6539224674
748	0.6538135856
749	0.6535668192
750	0.65336774
751	0.6532809439
752	0.6531836061
753	0.6530643636
754	0.6528899023
755	0.6527924384
756	0.6527399513
757	0.6525459545
758	0.6523026597
759	0.6522365652
760	0.652176673
761	0.6520041553
762	0.6518416031
763	0.6517145555
764	0.6515124926
765	0.6513220836
766	0.6512243118
767	0.6510817747
768	0.6510041307
769	0.6509682546
770	0.6508300382
771	0.6506436833
772	0.6504815126
773	0.6504329202
774	0.6502545525
775	0.6499547588
776	0.6498126127
777	0.6496511784
778	0.649557096
779	0.6493983349
780	0.6493178333
781	0.6491942693
782	0.6490600209
783	0.6490115799
784	0.6487836351
785	0.6486067201
786	0.6484745128
787	0.6484004696
788	0.6482028955
789	0.6481825661
790	0.648011496
791	0.6479182242
792	0.6477201161
793	0.6475346378
794	0.6474569876
795	0.647396775
796	0.6472169432
797	0.6471207418
798	0.6470004594
799	0.6469095268
800	0.6468557333
801	0.6466758319
802	0.6465838472
803	0.6464848763
804	0.6463908281
805	0.6462094503
806	0.6460010863
807	0.6459349267
808	0.6458402076
809	0.6457255726
810	0.6456630819
811	0.6455462677
812	0.6454990625
813	0.6453530699
814	0.6452784856
815	0.6451030031
816	0.6450494012
817	0.6448638387
818	0.6447733183
819	0.644679539
820	0.6445773932
821	0.6444992417
822	0.6444059756
823	0.6443423514
824	0.6443107697
825	0.6441951237
826	0.644155363
827	0.644059487
828	0.6439940967
829	0.6438602176
830	0.6437017275
831	0.6436322939
832	0.6434814087
833	0.64340735
834	0.6433549058
835	0.643265507
836	0.6431388516
837	0.643025797
838	0.6428467768
839	0.6426688204
840	0.6426209992
841	0.6425577126
842	0.6423475956
843	0.6422953736
844	0.6421603776
845	0.6420513696
846	0.6419596864
847	0.6418868421
848	0.6418396573
849	0.6416943055
850	0.6415678142
851	0.6414687249
852	0.6413606137
853	0.6411945321
854	0.6410404071
855	0.6409176639
856	0.6408301373
857	0.6407564676
858	0.6406908031
859	0.6406255959
860	0.6405521079
861	0.6404929871
862	0.640446968
863	0.6404011478
864	0.6402005778
865	0.6400623964
866	0.6400184372
867	0.6399471158
868	0.6398757783
869	0.6398391292
870	0.6397447312
871	0.6395503432
872	0.6394444944
873	0.6394046895
874	0.6393477543
875	0.6392551117
876	0.6391598544
877	0.6390581521
878	0.6388750405
879	0.6387622188
880	0.6387139834
881	0.6386612129
882	0.6385572581
883	0.6385219902
884	0.6384497592
885	0.6384081612
886	0.6383699462
887	0.6382812255
888	0.6381795385
889	0.6381364481
890	0.6380853289
891	0.6379869481
892	0.6377816796
893	0.6377468466
894	0.6377247383
895	0.6376449958
896	0.6375539468
897	0.6373926205
898	0.6373522662
899	0.6372826621
900	0.6371426437
901	0.6370146321
902	0.6368506647
903	0.6367320117
904	0.6366580891
905	0.636606814
906	0.6365616186
907	0.6364386874
908	0.6363873865
909	0.636337484
910	0.6362630467
911	0.6361911406
912	0.6361437307
913	0.636025126
914	0.635909531
915	0.6358342288
916	0.6357363008
917	0.6356679887
918	0.6355789782
919	0.6355075665
920	0.6353647879
921	0.6352392914
922	0.6351352971
923	0.6350630912
924	0.6348974712
925	0.6347488373
926	0.6345827865
927	0.6345187072
928	0.6344601138
929	0.6344042674
930	0.6343371103
931	0.6341688146
932	0.634103425
933	0.6340458229
934	0.6339438752
935	0.6338990464
936	0.6338041476
937	0.6337256403
938	0.6335703022
939	0.6334956305
940	0.6334707741
941	0.6334250304
942	0.6333116011
943	0.6332726092
944	0.6331503495
945	0.6330084746
946	0.6329551043
947	0.6329187897
948	0.6328260279
949	0.6326838248
950	0.6325758477
951	0.6324672249
952	0.6324037206
953	0.6323307144
954	0.6321980377
955	0.6321477426
956	0.6320241324
957	0.6319305541
958	0.6318892305
959	0.6317780502
960	0.631741733
961	0.6316918697
962	0.6316486118
963	0.6315859599
964	0.6315310301
965	0.6314652812
966	0.6313904863
967	0.6313181245
968	0.6312181696
969	0.6311961166
970	0.6311504316
971	0.6310348882
972	0.6309963731
973	0.6309466637
974	0.6308629885
975	0.6308134015
976	0.6307128465
977	0.6306384486
978	0.6305587847
979	0.6304680747
980	0.6303615774
981	0.6302416004
982	0.6301779499
983	0.6301454839
984	0.6300864204
985	0.6300248458
986	0.6299620168
987	0.6299049438
988	0.629863222
989	0.6298350663
990	0.6297885064
991	0.6296980696
992	0.6295994443
993	0.6295579189
994	0.6294872705
995	0.6294295852
996	0.6293398612
997	0.6292956622
998	0.6291930817
999	0.6291490165
